Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000000,FNAME1,LNAME1,,PMO/HR/Executive,Corporate,2/22/2017 15:52,100.000.000.000,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,"I enjoy my team and the people with whom I work.

I enjoy working in a place where I can make an immediate impact.","Make sure to continue to appreciate those who are working hard to make Company a better place to work and identify and replace those that aren't.

401(k) matching.","Too many meetings and not enough time to work.

Too much divergent focus.  It would be nice to be able to focus on core issues and competencies and not get distracted with a lot of other things.",I think the process is excellent and run extremely well by the HR team.
10000001,FNAME2,LNAME2,,PMO/HR/Executive,Corporate,2/16/2017 10:48,100.000.000.001,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,7,"Opportunities for continuing education, opportunities for career growth","Reconsider how we define and provide 'benefits.' For example, AD&D or hospital indemnity are fine, but perhaps a more useful benefit to more employees would be identity theft insurance or parking. 

A parking benefit would have significant symbolic value. For example, have the pleasure of paying 1% of my salary to even go to work in the first place; it is a more significant percentage when you are towards the bottom of the Company salary range. I think there are a lot of leaders who travel and thus have all their parking expensed, and a significant portion of the higher-paid workforce works remotely, so I believe this has goes unnoticed. I think this should take priority over 401K matching on the benefits radar.","Reconsider our travel needs and budgets -  it seems we spend more than is necessary in this area, though admittedly I don't have a complete picture. One last minute trip for one person, flight/hotel/rental car/taxi/food per diem, easily equals 3-5% of some employee's annual salary.

Annual bonuses. What if we used the same bonus plan but ran it every quarter for 1/4 of the total? The quarterly bonuses can give a more immediate sense of whether we're doing well or doing poorly than an annual one.

Hiring outside people as OPS Managers. I think the Atlanta -  Finley v. Mitchell example is prudent to watch to see the resulting differences. I could end up being wrong, but we should see. It seems like the outside OPS Manager hires don't seem to work out very often.",I have no significant issues with our performance feedback process. I think we should always strive for ways to make it more objective than subjective - just something to keep in mind when we look for adjustments.
10000002,FNAME3,LNAME3,,Center of Excellence,Shared Services,2/13/2017 11:39,100.000.000.002,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,7,"The ability to work remotely from home. Great work/life balance. 

The flexibility my role allows me to have. Its not the same thing every day.","Continue the monthly bonus program and discontinue the tickets they are awarding to people for doing their job. They shouldn't need tickets to get motivated to do a good job. That should come naturally and you should be rewarded on your daily hard work. 

Promote from within. All the new OMs with the exception of one was an outside hire. The turnover rate is too high.  Also - hire people who have proper grammar skills. the emails the COE are sending to clients are horrendous and make us look super unprofessional","Stop the ticketing program. 

Stop hiring just anyone. better screening needs to be done to make sure they can speak clearly and type in complete sentences.",Have our goals set by management so we know what they are looking for. We do not know what to put for our goals.
10000003,FNAME4,LNAME4,,Production,Operations,2/13/2017 12:10,100.000.000.003,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,9,"Independence
Team Work","NetSuite upgrades for a more efficient workflow and product
90 day evaluations
Leveling pay for staff who deserve a promotion for work ethic and tenure","Employing bad apples
Making development excuses",
10000004,FNAME5,LNAME5,,Field Operations,Central Region,2/13/2017 11:51,100.000.000.004,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,5,"My paycheck
401K
Location","1) Better training with enough time to understand and perform new tasks.

2) Initiate anonymous evaluations from reporters (I hear complaints about mangers, pay, scheduling, client comments, etc.)

3) Bring back 'Casual Fridays.'","1)Remove SDC Weekly Activities from SDC's responsibility and transfer to Sales Team.  This is more of a sales oriented task.  

2) Stop the Goal Setting.  I hear a lot of complaints from employees that they don't have time for this and  they don't feel this should be required to document their goals, they know what they need to do.",Nothing at this time.
10000005,FNAME6,LNAME6,,Center of Excellence,Shared Services,2/13/2017 11:25,100.000.000.005,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,7,"The fact that I am able to work from home, making it possible for me to continue working towards my college degree.",,,
10000006,FNAME7,LNAME7,,Field Operations,Northwest Region,2/13/2017 12:37,100.000.000.006,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,The appreciation from my manager for my hard work and the group effort to keep the company running with happy clients.,"Hold continued education courses for CoE team to ensure they know the correct procedures for each office. 
Hold local office training on weekends with compensation for employees, this will manage time better during business hours and avoid misunderstanding of new procedures.","Stop letting inside sales take clients in areas where there is a local sales rep that can actually visit them and build working in-person relationships.
Schedule conference calls that better accommodate the east coast offices because the times are often not accommodating to west coast offices.",none
10000007,FNAME8,LNAME8,,Center of Excellence,Shared Services,2/13/2017 11:32,100.000.000.007,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,8,"I love the people here. From my colleagues to my leadership team, they are the best. 
I also enjoy the ability to work from home if I need the extra hours or if I can't come in and it is approved to work from home.","We need more morale boosters. Things like fun activities to do around the office every few weeks would help. 
We work very hard here. We should starting having an annual award ceremony at work where employees can vote for one another in various areas.","I like the idea of having a raffle to win things but it can also be discouraging if you work hard but you don't win anything. Instead of a raffle that isn't guaranteed no matter how hard I work, there should just be a flat out incentive program that I know I can achieve on my own and not dependent upon luck of the draw.","I enjoy the fact that my supervisor is constantly keeping me up do date on my stats. However, it would be nice to get emailed things like my work time average, break time average, etc. That way I know what areas I need to improve in."
10000008,FNAME9,LNAME9,,Collections,Shared Services,2/15/2017 15:55,100.000.000.008,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,Their Commitment to their customer.,Match 401K,.,"For goal process, it would be nice to have a search for where associates help getting or their goals.  Help tailor the view to the associates job function."
10000009,FNAME10,LNAME10,,Center of Excellence,Shared Services,2/14/2017 11:03,100.000.000.009,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,3,n/a,n/a,playing the blame game,n/a
